id energy_found_select energy_found_distort energy_found_both
0 -174025478.55088067 -174025481.53076276 -174025480.38395944
1 -174025313.22597805 -174025326.7888012 -174025338.0894913
2 -174025479.30877396 -174025481.57294837 -174025481.2911235
3 -174025460.6141669 -174025461.41638386 -174025463.68537024
4 -174025339.07906142 -174025372.01240942 -174025391.29218844
5 -174025207.88327563 -174025202.7724699 -174025207.9533471
6 -174025461.94484398 -174025463.18997073 -174025465.65555483
7 -174025466.18777448 -174025464.09131274 -174025466.84327355
8 -174025459.00504678 -174025461.67476866 -174025463.7492081
9 -174025350.65558943 -174025346.97982234 -174025347.01535532
10 -174025463.66389227 -174025465.2676322 -174025466.54597658
11 -174025459.20155963 -174025463.94711578 -174025465.40447244
12 -174025373.6035418 -174025373.2748831 -174025376.5843962
13 -174025460.32462847 -174025465.62046754 -174025465.36796507
14 -174025347.95546663 -174025348.55468804 -174025352.27961466
15 -174025460.04893756 -174025465.7159781 -174025466.56429368
16 -174025461.35632536 -174025464.87217817 -174025465.7595657
17 -174025485.2561076 -174025485.0640416 -174025485.06330895
18 -174025475.14580506 -174025475.87747175 -174025475.4967102
19 -174025469.02754834 -174025468.30815575 -174025469.1900286
20 -174025467.35056025 -174025470.37056676 -174025470.48928
21 -174025459.05546314 -174025461.78434885 -174025464.5747816
22 -174025460.5918848 -174025464.4178064 -174025465.79220486
23 -174025459.52303797 -174025462.5095977 -174025464.36472243
24 -174025468.7946551 -174025472.4411887 -174025472.13729542
25 -174025465.80269438 -174025468.67621326 -174025468.52003908
26 -174025473.21010596 -174025473.93170208 -174025474.47242206
27 -174025462.96445203 -174025470.2718716 -174025469.5908929
28 -174025468.68018934 -174025470.91154617 -174025470.94877896
29 -174025462.89271784 -174025466.52455792 -174025467.38263494
30 -174025466.51996607 -174025469.1280696 -174025469.24138463
31 -174025460.22760108 -174025465.1455552 -174025466.1119178
32 -174025474.15565875 -174025477.61195287 -174025476.40710664
33 -174025486.78998825 -174025487.02674097 -174025486.34123883
34 -174025459.67974395 -174025461.83749995 -174025463.32150543
35 -174025463.36590534 -174025467.01996008 -174025467.85176983
36 -174025472.580289 -174025473.01350415 -174025474.0089368
37 -174025438.17591122 -174025451.5067985 -174025457.82227898
38 -174025471.0354195 -174025472.2003004 -174025472.85049555
39 -174025467.00733653 -174025466.29444864 -174025466.69809622
40 -174025446.2263691 -174025455.9693921 -174025457.41711575
41 -174025387.54954773 -174025501.4853467 -174025459.6037158
42 -174025462.9236171 -174025467.58591947 -174025468.19829974
43 -174025460.9748174 -174025462.84971341 -174025463.5428092
44 -174025463.44768065 -174025465.9864577 -174025468.25152653
45 -174025464.6392609 -174025467.42383236 -174025468.71059406
46 -174025473.7685362 -174025473.87891662 -174025474.37720847
47 -174025465.34930187 -174025466.86595038 -174025469.2054239
48 -174025462.82925266 -174025466.64636484 -174025467.91163397
49 -174025471.82636252 -174025473.42824045 -174025473.19444636
50 -174025462.11752734 -174025465.80901507 -174025466.91957095
51 -174025470.76691154 -174025471.30209902 -174025471.39367616
52 -174025464.41169214 -174025469.32664576 -174025469.24819693
53 -174025474.6010015 -174025479.0752688 -174025477.65194106
54 -174025470.4533756 -174025471.29766268 -174025471.52598247
55 -174025468.73626882 -174025471.2904103 -174025471.62559068
56 -174025457.96283436 -174025462.60436124 -174025463.676257
57 -174025467.10350284 -174025470.04811832 -174025469.83628845
58 -174025472.65197343 -174025473.3848722 -174025473.68311864
59 -174025475.98261413 -174025478.9135975 -174025478.01792455
60 -174025464.01409286 -174025463.55369365 -174025465.3181972
61 -174025482.86712623 -174025484.50979042 -174025484.09084123
62 -174025456.24110317 -174025462.8093397 -174025463.17092797
63 -174025458.03968728 -174025464.40796173 -174025465.7669518
64 -174025336.0688188 -174025335.44002908 -174025340.1378202
65 -174025458.60994932 -174025464.50132483 -174025465.37128285
66 -174025465.1333408 -174025469.51188302 -174025469.4076881
67 -174025461.5058945 -174025467.67105636 -174025468.05801144
68 -174025446.07021454 -174025456.6874474 -174025457.83424646
69 -174025461.60490444 -174025464.76091355 -174025465.65246865
70 -174025474.543972 -174025477.43232 -174025476.61004665
71 -174025458.49765974 -174025462.32556707 -174025464.0724201
72 -174025477.38627812 -174025478.00993606 -174025477.47143754
73 -174025466.37227923 -174025468.48247772 -174025470.22773284
74 -174025465.539771 -174025469.58934367 -174025469.79657292
75 -174025468.94967142 -174025473.54369265 -174025472.7554952
76 -174025468.0041229 -174025469.46545523 -174025469.98119017
77 -174025460.21500918 -174025463.4752174 -174025463.88991302
78 -174025470.13950598 -174025471.9367392 -174025471.7556153
79 -174025463.9859456 -174025466.93522206 -174025468.1698213
80 -174025469.03637785 -174025470.7228596 -174025471.6790534
81 -174025464.43567654 -174025470.1382791 -174025469.82326898
82 -174025409.36608845 -174025407.1696873 -174025406.23074463
83 -174025464.2036984 -174025468.2936291 -174025468.57918584
84 -174025475.8592806 -174025477.54011923 -174025477.02915603
85 -174025469.9758095 -174025468.8746308 -174025469.92937258
86 -174025460.224274 -174025463.35319653 -174025464.87780592
87 -174025470.54425207 -174025470.92988005 -174025472.00700232
88 -174025476.93889648 -174025476.6534676 -174025476.05098858
89 -174025465.5903442 -174025467.93791744 -174025468.05879188
90 -174025459.58639252 -174025463.3444082 -174025464.85808936
91 -174025469.38852558 -174025471.67812097 -174025471.96376285
92 -174025447.51174894 -174025457.5214485 -174025457.98650658
93 -174025463.5906555 -174025468.51671946 -174025468.88064602
94 -174025458.78380033 -174025464.0262019 -174025463.9663395
95 -174025463.1721586 -174025466.05082488 -174025467.6559526
96 -174025463.69779736 -174025465.37036833 -174025466.45424202
97 -174025472.27228594 -174025475.13366163 -174025474.381162
98 -174025466.070116 -174025469.15367174 -174025469.48800707
99 -174025460.73697886 -174025465.00204858 -174025466.78199905
100 -174025462.70023665 -174025465.95346457 -174025467.2566949
101 -174025474.02921686 -174025476.70725644 -174025475.48596048
102 -174025461.3671196 -174025464.89934412 -174025466.51991153
103 -174025463.39607713 -174025465.05525872 -174025466.7175524
104 -174025461.6108543 -174025466.32567242 -174025466.93099976
105 -174025471.33116958 -174025470.1600678 -174025471.19637227
106 -174025456.41448885 -174025462.75770658 -174025464.60221905
107 -174025477.94634318 -174025477.89153904 -174025477.47870493
108 -174025466.3225777 -174025468.67756554 -174025469.83480233
109 -174025459.296276 -174025462.07116237 -174025463.71116117
110 -174025462.91566774 -174025468.16540462 -174025468.23245683
111 -174025465.86282498 -174025465.64729035 -174025467.1280384
112 -174025461.62829262 -174025469.87969035 -174025469.2619839
113 -174025456.2669023 -174025464.36268154 -174025464.70045337
114 -174025461.08236635 -174025466.04755917 -174025467.16507545
115 -174025456.45235094 -174025464.29176918 -174025465.09655628
116 -174025463.06252182 -174025466.60240352 -174025467.20271748
117 -174025481.87962762 -174025485.50176477 -174025483.14284962
118 -174025462.01022297 -174025467.11648566 -174025467.81725675
119 -174025456.7788597 -174025463.21026495 -174025465.35399407
120 -174025466.1919736 -174025466.77266613 -174025469.332544
121 -174025462.34043717 -174025465.87545902 -174025467.41551596
122 -174025463.51753426 -174025469.2525975 -174025468.7034221
123 -174025463.9318095 -174025466.0797095 -174025467.30557653
124 -174025470.6954724 -174025472.8526489 -174025472.7489089
125 -174025476.5631868 -174025480.04729873 -174025478.81358576
126 -174025462.4511704 -174025466.16821122 -174025467.5433079
127 -174025474.93032947 -174025479.31993175 -174025479.14086398
128 -174025479.39157116 -174025478.57549208 -174025478.28208858
129 -174025461.1657267 -174025464.99287593 -174025464.90213096
130 -174025463.99773297 -174025469.0542347 -174025468.27830613
131 -174025461.05206394 -174025463.22284463 -174025464.45019224
132 -174025464.23554635 -174025468.27909005 -174025468.8292568
133 -174025461.8176519 -174025466.64494216 -174025468.65343967
134 -174025478.8550974 -174025480.61745217 -174025479.13026866
135 -174025462.6876837 -174025467.63155082 -174025467.9710143
136 -174025463.84610492 -174025466.0422152 -174025467.5177243
137 -174025471.39135545 -174025471.98154607 -174025472.5396652
138 -174025445.71484154 -174025456.01141316 -174025457.98751417
139 -174025409.26452518 -174025408.28082308 -174025409.4779305
140 -174025461.80227432 -174025464.93410105 -174025467.19662356
141 -174025458.0494717 -174025463.69531345 -174025463.4621985
142 -174025462.63746586 -174025468.85119596 -174025468.68580616
