# Model hyperparameter values by iteration
# iter              npts                   kernel.variance   kernel.lengthscale  kernel_1.lengthscale  kernel_2.lengthscale  kernel_3.lengthscale  kernel_4.lengthscale  kernel_5.lengthscale  kernel_6.lengthscale  kernel_7.lengthscale
  0.0000000000E+00  1.0000000000E+01       2.3110860495E+04  7.6446009741E-01  3.1176628460E+00  3.9547086495E+00  3.1818961832E+01  3.1760701830E+01  3.1799530415E+01  3.1743838960E+01  3.1691145833E+01
  1.0000000000E+00  1.1000000000E+01       2.3110824569E+04  7.8073639465E-01  3.1173156173E+00  4.5283335900E+00  3.2471169330E+01  3.2042694881E+01  3.1963911084E+01  3.2174681407E+01  3.5619030688E+01
  2.0000000000E+00  1.2000000000E+01       2.3110740916E+04  8.1355295046E-01  3.1214352530E+00  4.8286847160E+00  3.4193810282E+01  3.3671554799E+01  3.3773877789E+01  3.2879590875E+01  3.8942273919E+01
  3.0000000000E+00  1.3000000000E+01       1.8826882147E+04  8.4749799461E-01  3.1537596801E+00  5.2257334075E+00  3.5197067043E+01  3.4275356614E+01  3.5194610445E+01  3.3292822384E+01  4.1554759095E+01
  4.0000000000E+00  1.4000000000E+01       1.8826822785E+04  8.5251268189E-01  3.7478190078E+00  5.2689397339E+00  3.6517900864E+01  3.4561848644E+01  3.6097353592E+01  3.5427449444E+01  4.2355347015E+01
  5.0000000000E+00  1.5000000000E+01       1.7239954671E+04  9.1275905982E-01  3.8622009709E+00  5.7737798230E+00  4.0128145766E+01  3.5384349184E+01  3.7375533342E+01  3.7120878482E+01  4.4187529443E+01
  6.0000000000E+00  1.6000000000E+01       1.7239812921E+04  9.3945434387E-01  4.0831388648E+00  6.0740508368E+00  4.1828453237E+01  3.6424896255E+01  3.8417534865E+01  4.3066196900E+01  4.8595904528E+01
  7.0000000000E+00  1.7000000000E+01       1.5454288448E+04  9.7158924439E-01  4.2675152988E+00  6.3732370281E+00  4.3487198742E+01  4.3961991881E+01  4.2681377276E+01  4.5072725580E+01  5.1437962116E+01
  8.0000000000E+00  1.8000000000E+01       1.4558710889E+04  1.0215040844E+00  4.4921424544E+00  6.7775933890E+00  4.7877384965E+01  4.7617775313E+01  4.6364348952E+01  4.7088603798E+01  5.4151454850E+01
  9.0000000000E+00  1.9000000000E+01       1.3941756474E+04  1.0606092131E+00  4.7248581145E+00  7.1722291686E+00  5.2847072874E+01  5.0772685462E+01  5.1244995643E+01  5.1882962490E+01  5.9226502506E+01
  1.0000000000E+01  2.0000000000E+01       1.3941450088E+04  1.0995534828E+00  4.9986976874E+00  7.7818003650E+00  5.5782618095E+01  5.3529226798E+01  5.4595974010E+01  5.5783550233E+01  6.4339426418E+01
  1.1000000000E+01  2.1000000000E+01       1.2877971892E+04  1.1877983935E+00  5.6233968839E+00  8.8797100100E+00  6.0980686385E+01  5.8537591463E+01  6.1067093448E+01  6.1834261167E+01  7.2838053740E+01
  1.2000000000E+01  2.2000000000E+01       1.2877295966E+04  1.2512151794E+00  6.0224802823E+00  9.5255601485E+00  6.5950522861E+01  6.1658300310E+01  6.5283887495E+01  6.5566434369E+01  7.8194954136E+01
  1.3000000000E+01  2.3000000000E+01       1.1853527996E+04  1.3338276753E+00  6.5466432409E+00  1.0537373997E+01  7.4187120032E+01  6.6429648105E+01  7.2540116072E+01  7.0181832116E+01  8.5865325404E+01
  1.4000000000E+01  2.4000000000E+01       1.1739979328E+04  1.3931915039E+00  6.9327607121E+00  1.1345789620E+01  7.8994161898E+01  6.8846686891E+01  7.6288774116E+01  7.3869002376E+01  9.0758518766E+01
  1.5000000000E+01  2.5000000000E+01       1.1147077117E+04  1.3575265954E+00  6.5229617704E+00  1.0877672489E+01  7.4973053103E+01  6.4552974213E+01  7.3501790642E+01  7.1219634978E+01  8.7106447057E+01
  1.6000000000E+01  2.6000000000E+01       1.1146038374E+04  1.4016159607E+00  6.8221209489E+00  1.1447823847E+01  7.8092987108E+01  6.6606166526E+01  7.6323574951E+01  7.3830219018E+01  9.1107402307E+01
  1.7000000000E+01  2.7000000000E+01       1.0570749435E+04  1.4584862362E+00  7.2005765411E+00  1.2075289381E+01  8.4932101927E+01  6.8589114066E+01  8.0027108027E+01  7.6442314532E+01  9.5519301514E+01
  1.8000000000E+01  2.8000000000E+01       1.0005656305E+04  1.4662040963E+00  7.2152853649E+00  1.2147831472E+01  8.4923203581E+01  6.8032283350E+01  8.0074744475E+01  7.6753268033E+01  9.5942906828E+01
  1.9000000000E+01  2.9000000000E+01       9.7192948629E+03  1.4962488954E+00  7.3656637131E+00  1.2486398681E+01  8.6537798256E+01  7.3422766678E+01  8.3784189684E+01  7.7857822059E+01  9.8431242735E+01
  2.0000000000E+01  3.0000000000E+01       9.3923646691E+03  1.4966195656E+00  7.3519391920E+00  1.2487047529E+01  8.6433943136E+01  7.3455688499E+01  8.3691315314E+01  7.7816697772E+01  9.8277190579E+01
  2.1000000000E+01  3.1000000000E+01       1.0247941863E+04  1.3629862228E+00  6.5881949867E+00  1.0702615353E+01  7.0782001806E+01  6.3606191777E+01  7.3572487891E+01  6.8093604959E+01  8.5733962629E+01
  2.2000000000E+01  3.2000000000E+01       1.0247392338E+04  1.4457084657E+00  7.2140870612E+00  1.1552357110E+01  7.2999978591E+01  7.2970909428E+01  8.5041265348E+01  7.0468824033E+01  9.1977710024E+01
  2.3000000000E+01  3.3000000000E+01       9.7936066803E+03  1.5139020846E+00  7.6788385998E+00  1.2594614219E+01  7.4431624814E+01  7.7765155726E+01  9.1597587318E+01  7.1717951551E+01  9.7050697783E+01
  2.4000000000E+01  3.4000000000E+01       9.5012842048E+03  1.4932440075E+00  7.5565072964E+00  1.2336556016E+01  7.4095737025E+01  7.5989034442E+01  9.0023113604E+01  7.0375750410E+01  9.5252396631E+01
  2.5000000000E+01  3.5000000000E+01       9.9196179906E+03  1.3861147449E+00  6.7476147054E+00  1.1068246529E+01  6.9556968746E+01  6.6185729641E+01  7.9469491893E+01  6.5047949772E+01  8.6733853855E+01
  2.6000000000E+01  3.6000000000E+01       9.5321111335E+03  1.4872749705E+00  7.0352316073E+00  1.1885747227E+01  7.2109806645E+01  6.8047918411E+01  8.3735298572E+01  6.5658075245E+01  9.3213676732E+01
  2.7000000000E+01  3.7000000000E+01       9.5311142966E+03  1.5272913326E+00  7.2530978159E+00  1.2415063524E+01  7.2657459806E+01  7.3639930043E+01  8.7295512741E+01  6.5721837871E+01  9.6182670785E+01
  2.8000000000E+01  3.8000000000E+01       9.0639039304E+03  1.5361689214E+00  7.2603255164E+00  1.2548848962E+01  7.3055759189E+01  7.2923584547E+01  8.7395264617E+01  6.5131871799E+01  9.7054444697E+01
  2.9000000000E+01  3.9000000000E+01       9.1637415866E+03  1.8569205873E+00  8.8159907722E+00  1.9546547574E+01  8.0279011509E+01  1.3012846042E+02  1.1154261422E+02  6.0087400156E+01  1.2090388745E+02
  3.0000000000E+01  4.0000000000E+01       9.1625804665E+03  1.8849177039E+00  9.0245279485E+00  2.0338314905E+01  8.0824867750E+01  1.3572445174E+02  1.1471167412E+02  5.9645284823E+01  1.2438669334E+02
  3.1000000000E+01  4.1000000000E+01       8.6063703416E+03  1.6039776063E+00  7.6314932207E+00  1.3742946427E+01  7.5043532652E+01  7.7723066373E+01  9.5413680016E+01  6.4757629154E+01  1.0457525690E+02
  3.2000000000E+01  4.2000000000E+01       8.6003601727E+03  1.8517381494E+00  8.6255326382E+00  2.0316495271E+01  7.7079367982E+01  1.3003918077E+02  1.1390359409E+02  5.8964370838E+01  1.2464342665E+02
  3.3000000000E+01  4.3000000000E+01       8.5997814379E+03  1.8797861826E+00  9.2291755754E+00  2.1353126682E+01  7.4782742599E+01  1.3789829308E+02  1.1673212038E+02  5.9553193736E+01  1.2975788289E+02
  3.4000000000E+01  4.4000000000E+01       8.4189609872E+03  1.8872184183E+00  9.3135671063E+00  2.1906105274E+01  7.8184230847E+01  1.4083966517E+02  1.1828853607E+02  5.7745799172E+01  1.3276511957E+02
  3.5000000000E+01  4.5000000000E+01       8.4176446833E+03  1.9038898209E+00  9.4391265151E+00  2.2586696908E+01  7.6065545071E+01  1.4865543186E+02  1.1998550470E+02  5.9077833897E+01  1.3552836203E+02
  3.6000000000E+01  4.6000000000E+01       7.8505214602E+03  1.8965973014E+00  9.3970575154E+00  2.2594148674E+01  6.9568406862E+01  1.4946890187E+02  1.2113081119E+02  5.8867497658E+01  1.3335803513E+02
  3.7000000000E+01  4.7000000000E+01       7.8507894759E+03  1.9036966217E+00  9.5591089037E+00  2.2894559033E+01  6.9286250781E+01  1.5252829577E+02  1.2217671280E+02  5.9361037089E+01  1.3495380313E+02
  3.8000000000E+01  4.8000000000E+01       8.0535544848E+03  1.7228398180E+00  9.1949653905E+00  2.0265047082E+01  7.1258623550E+01  1.3415998093E+02  1.1330963400E+02  5.9373359156E+01  1.2472412974E+02
  3.9000000000E+01  4.9000000000E+01       8.0505922446E+03  1.5268558798E+00  7.9069610549E+00  1.3259030349E+01  7.2415731835E+01  6.9853424577E+01  9.1236072849E+01  6.6666417510E+01  9.9945561676E+01
  4.0000000000E+01  5.0000000000E+01       7.6413793586E+03  1.5228141305E+00  7.8910587003E+00  1.3150719744E+01  7.2746893408E+01  6.7118169578E+01  9.0643201467E+01  6.7011149334E+01  9.9392119594E+01
