mol_i, mol_j, min_max_dissimilarity
0, 0, 2.220446049250313e-16
0, 1, 0.02686212332515392
0, 2, 0.19966446862936615
0, 3, 0.25207285469145746
0, 4, 0.2432302490541136
0, 5, 0.27906875487588045
0, 6, 0.4891608752839406
0, 7, 0.6931149997384894
0, 8, 0.630027393526781
0, 9, 0.31042111140850914
0, 10, 0.13981833368294339
0, 11, 0.006423202982361209
0, 12, 0.10558335512322004
0, 13, 0.17618863174778188
0, 14, 0.4095992727879323
0, 15, 0.7091410368174597
0, 16, 0.8332442368366265
0, 17, 0.8636373628367968
0, 18, 0.8209544436231484
0, 19, 0.7475294667379033
0, 20, 0.42703842367905354
0, 21, 0.3548917262481721
0, 22, 0.07761656277476658
0, 23, 0.09607004118587859
0, 24, 0.2539311253839568
0, 25, 0.24528850714732664
0, 26, 0.3516662097179031
0, 27, 0.5684318514604837
0, 28, 0.5777104684805623
0, 29, 0.28639829026821984
0, 30, 0.2814225575154943
0, 31, 0.21485631935444727
0, 32, 0.24273290845891338
0, 33, 0.006462812580644961
0, 34, 0.019171325763301383
0, 35, 0.24720566324970494
0, 36, 0.25885615583748467
0, 37, 0.25162769110870564
0, 38, 0.25888646623677725
0, 39, 0.3229763958390667
0, 40, 0.6890320438843931
0, 41, 0.7030150548733192
0, 42, 0.2902466614244238
0, 43, 0.48235397865458296
0, 44, 0.07702147188593711
0, 45, 0.07639921469648092
0, 46, 0.14464879641658812
0, 47, 0.21202121321013334
0, 48, 0.27905802285427617
0, 49, 0.25358346688688393
0, 50, 0.2497111695422335
0, 51, 0.2560561861523195
0, 52, 0.2543825966916806
0, 53, 0.22546114730755262
0, 54, 0.1521288480436842
0, 55, 0.07928465312881128
0, 56, 0.28114828790187896
0, 57, 0.06774589891419958
0, 58, 0.2641675559845794
0, 59, 0.260736877830697
0, 60, 0.2568672646047836
0, 61, 0.26483610838398597
0, 62, 0.26218654069539915
0, 63, 0.25816963590542763
0, 64, 0.2710104920019586
0, 65, 0.6435621141001573
0, 66, 0.07325576768121322
0, 67, 0.10209572650156362
0, 68, 0.25629175785146574
0, 69, 0.2623016539410764
0, 70, 0.2462621930474994
0, 71, 0.2525411782304742
0, 72, 0.2759399250380148
0, 73, 0.31740916031868827
0, 74, 0.3548268463649834
0, 75, 0.31077627432538935
0, 76, 0.18555676830319123
0, 77, 0.07447120226691784
0, 78, 0.07430558105896334
0, 79, 0.1542868007766789
0, 80, 0.2535600184561908
0, 81, 0.2349170930552027
0, 82, 0.2321286587824949
0, 83, 0.24033652589133625
0, 84, 0.25715287773182094
0, 85, 0.3192358262806213
0, 86, 0.22690158171424946
0, 87, 0.15139898532628893
0, 88, 0.08175899276816956
0, 89, 0.25189112203381536
0, 90, 0.25148863366054597
0, 91, 0.25888735935541074
0, 92, 0.25023754316342417
0, 93, 0.25160345319022026
0, 94, 0.2707715629032903
0, 95, 0.2986630508586561
0, 96, 0.34051344711581766
0, 97, 0.26526511886575643
0, 98, 0.11281288915646936
0, 99, 0.07516909685090656
0, 100, 0.08196086491771226
0, 101, 0.1700245881693514
0, 102, 0.23238673296296297
0, 103, 0.24870602521785146
0, 104, 0.24777873983372334
0, 105, 0.2640653839583589
0, 106, 0.29503991957295994
0, 107, 0.3618878975373999
0, 108, 0.4433096968185851
0, 109, 0.18153737074295417
1, 0, 0.02686212332515392
1, 1, 2.220446049250313e-16
1, 2, 0.16930049934181113
1, 3, 0.24125069665546595
1, 4, 0.24340568615363223
1, 5, 0.24709392082069892
1, 6, 0.5103370498505464
1, 7, 0.6779288429843133
1, 8, 0.6023566163011239
1, 9, 0.3075678772377213
1, 10, 0.1392177575532909
1, 11, 0.03410024132152467
1, 12, 0.1248831616642484
1, 13, 0.19314626073599162
1, 14, 0.43762469000457427
1, 15, 0.7601520606289572
1, 16, 0.8436427166605422
1, 17, 0.8532135175589562
1, 18, 0.8062060694433826
1, 19, 0.7261298433188572
1, 20, 0.42693472293557755
1, 21, 0.35479787493851744
1, 22, 0.07749269260332214
1, 23, 0.11121741301466415
1, 24, 0.23403237856989256
1, 25, 0.2454903009378504
1, 26, 0.36593220835663254
1, 27, 0.5515823326325422
1, 28, 0.5460655905744196
1, 29, 0.28640230829652935
1, 30, 0.27810427629674184
1, 31, 0.21484367428267004
1, 32, 0.2426637452590652
1, 33, 0.02545736326728565
1, 34, 0.006303969852883284
1, 35, 0.24744452092227753
1, 36, 0.23624926027303816
1, 37, 0.21888077304102616
1, 38, 0.22574965503936373
1, 39, 0.32889619761823885
1, 40, 0.7219835803581762
1, 41, 0.6810774733562981
1, 42, 0.2902495856935523
1, 43, 0.4484218170045534
1, 44, 0.0777066814840951
1, 45, 0.07708536725026649
1, 46, 0.11800233689868955
1, 47, 0.18068734002764975
1, 48, 0.2698292210227402
1, 49, 0.25363182931458295
1, 50, 0.2497307493439388
1, 51, 0.25606363328682846
1, 52, 0.2544107452969123
1, 53, 0.2254660276087852
1, 54, 0.15213589959540696
1, 55, 0.07019604401021695
1, 56, 0.28108090733513014
1, 57, 0.06600610232122539
1, 58, 0.23045245336117315
1, 59, 0.26075135250082915
1, 60, 0.25648138845060864
1, 61, 0.2644949194498968
1, 62, 0.262122407255051
1, 63, 0.2582009003583754
1, 64, 0.2710108530516263
1, 65, 0.6125138945575526
1, 66, 0.07391067938658424
1, 67, 0.07916999064827734
1, 68, 0.22314071645288025
1, 69, 0.23477972997870333
1, 70, 0.24640309812535632
1, 71, 0.25224568151020477
1, 72, 0.27596077936214924
1, 73, 0.31414302038315045
1, 74, 0.3524190321180185
1, 75, 0.31079439932309094
1, 76, 0.18556634703773656
1, 77, 0.07512311389925264
1, 78, 0.07420538645261288
1, 79, 0.12682418494674752
1, 80, 0.2205607989096845
1, 81, 0.23503661376048512
1, 82, 0.23190248178260098
1, 83, 0.23680439015957633
1, 84, 0.25501239885821925
1, 85, 0.3167006646630076
1, 86, 0.22684625808764558
1, 87, 0.14986011992005044
1, 88, 0.08156260966951001
1, 89, 0.25207809051640984
1, 90, 0.25170081533216926
1, 91, 0.23684477301069595
1, 92, 0.2504361432474769
1, 93, 0.25167263457357403
1, 94, 0.27060876522722654
1, 95, 0.2945999555637814
1, 96, 0.3380653357848262
1, 97, 0.26525971303153983
1, 98, 0.11274594572481456
1, 99, 0.0750249388083346
1, 100, 0.07536250556127633
1, 101, 0.14143113467550572
1, 102, 0.20028925131295083
1, 103, 0.24887832967505097
1, 104, 0.24782066804309033
1, 105, 0.2640672478169467
1, 106, 0.2921613089107149
1, 107, 0.3604482807546787
1, 108, 0.44024341409548806
1, 109, 0.17807383825619427
2, 0, 0.19966446862936615
2, 1, 0.16930049934181113
2, 2, 2.220446049250313e-16
2, 3, 0.008903929808466438
2, 4, 0.045114997202354346
2, 5, 0.17996956827183674
2, 6, 0.4688079428155145
2, 7, 0.6058855513962611
2, 8, 0.41035022537016264
2, 9, 0.2314365343775524
2, 10, 0.12839649982619916
2, 11, 0.05457150154015278
2, 12, 0.0698482748467385
2, 13, 0.12155975024648258
2, 14, 0.3701549719356729
2, 15, 0.74065774717035
2, 16, 0.8032577823701087
2, 17, 0.801696809080314
2, 18, 0.7214275257042626
2, 19, 0.5861789267146575
2, 20, 0.25781541080510995
2, 21, 0.2408275875061502
2, 22, 0.162890898497544
2, 23, 0.11142117639473292
2, 24, 0.07953998777686444
2, 25, 0.08096144715925946
2, 26, 0.29337468081536766
2, 27, 0.48668433475242967
2, 28, 0.30614577599225146
2, 29, 0.2258979870322192
2, 30, 0.23001911391741803
2, 31, 0.2138345763810171
2, 32, 0.23103356322791957
2, 33, 0.2014621503326407
2, 34, 0.1941503043816626
2, 35, 0.015072439901983814
2, 36, 0.053762216899455484
2, 37, 0.04781592873735441
2, 38, 0.0678129239249361
2, 39, 0.24718081238295853
2, 40, 0.6969396414787328
2, 41, 0.538718904814917
2, 42, 0.2272261743144146
2, 43, 0.19795134754421873
2, 44, 0.1985537230320924
2, 45, 0.10016937768685097
2, 46, 0.07577783955812445
2, 47, 0.07592798011190072
2, 48, 0.07616272519644196
2, 49, 0.07626882083737718
2, 50, 0.1047783586311426
2, 51, 0.14498747501665565
2, 52, 0.17668234886787237
2, 53, 0.20235972642425215
2, 54, 0.139816891261483
2, 55, 0.19582741169703588
2, 56, 0.1977827469582215
2, 57, 0.14361923999815562
2, 58, 0.06405650487908476
2, 59, 0.06414835109673134
2, 60, 0.07424849932967881
2, 61, 0.06782389449823822
2, 62, 0.08916401425665843
2, 63, 0.1333900421865617
2, 64, 0.19791724400117028
2, 65, 0.3761027271872426
2, 66, 0.18671942083068538
2, 67, 0.12433924145401509
2, 68, 0.07145068907203234
2, 69, 0.07170769529989385
2, 70, 0.07326977449931815
2, 71, 0.07468642269203885
2, 72, 0.10634947290546926
2, 73, 0.14803885651359439
2, 74, 0.19914741353150722
2, 75, 0.22522165467072397
