mol_i, mol_j, min_mean_dissimilarity
0, 0, 4.5802922989019914e-17
0, 1, 6.999496553609434e-05
0, 2, 0.00047645851561324326
0, 3, 0.0006459975391871468
0, 4, 0.0007448561277482305
0, 5, 0.0009146895397108754
0, 6, 0.0012331949768317554
0, 7, 0.0015547123940462654
0, 8, 0.0015061110940974955
0, 9, 0.0010858661206806263
0, 10, 0.0017140557893244941
0, 11, 6.211183547115237e-05
0, 12, 0.00039224855236945073
0, 13, 0.0005696122689353826
0, 14, 0.0012317428981575
0, 15, 0.0021551602802292245
0, 16, 0.0025952669384005506
0, 17, 0.0026881638585218737
0, 18, 0.0024154156249177722
0, 19, 0.0019187979895890434
0, 20, 0.001381883387116225
0, 21, 0.0011507648572670305
0, 22, 0.0008178241699079456
0, 23, 0.0010231147123321554
0, 24, 0.0014008759802736322
0, 25, 0.0014669498578214184
0, 26, 0.0017822186318263485
0, 27, 0.0021040812202572125
0, 28, 0.00212188258061694
0, 29, 0.0017300271370702196
0, 30, 0.0017443190973619757
0, 31, 0.0019269889376482112
0, 32, 0.001715612139396622
0, 33, 0.00010740347742571723
0, 34, 0.00014395491876654585
0, 35, 0.0007057357249403927
0, 36, 0.0008408309812784485
0, 37, 0.0007847279556128277
0, 38, 0.0008289808162050846
0, 39, 0.0011196960927677352
0, 40, 0.0016548724006829015
0, 41, 0.0017855814096969323
0, 42, 0.001180431138541775
0, 43, 0.0016040581335010477
0, 44, 0.0011524198717725728
0, 45, 0.0012437082564048698
0, 46, 0.001564915373591282
0, 47, 0.0017851900227560747
0, 48, 0.0020067925420290894
0, 49, 0.0019636006329500234
0, 50, 0.0019712856218439294
0, 51, 0.0019954914719986163
0, 52, 0.0019970203774152475
0, 53, 0.001934099046033985
0, 54, 0.0018459689579432396
0, 55, 0.001400622355109327
0, 56, 0.0016416447994478747
0, 57, 0.001258796309157294
0, 58, 0.0018457411437746243
0, 59, 0.0019767863805211666
0, 60, 0.0019695096299921894
0, 61, 0.0019764400564233416
0, 62, 0.001995925283056362
0, 63, 0.002037947951990109
0, 64, 0.002899444847979789
0, 65, 0.009113701129117848
0, 66, 0.0014924485422815198
0, 67, 0.0016339822355392116
0, 68, 0.002053067768701843
0, 69, 0.002317373001895018
0, 70, 0.002296715392964474
0, 71, 0.002323126950886325
0, 72, 0.002389720265082616
