mol_i, mol_j, whole_dissimilarity
0, 0, 0.0
0, 1, 7.158135825535705e-05
0, 2, 0.00011191207686389593
0, 3, 0.00017879051615499186
0, 4, 0.00014417793996768236
0, 5, 0.00014105987837476075
0, 6, 0.00015808148805018796
0, 7, 0.00016919848698959683
0, 8, 0.00017337593647814842
0, 9, 0.00022033792236975103
0, 10, 0.0008957466583624507
0, 11, 0.0015224379855492964
0, 12, 0.001589955370107643
0, 13, 0.0016182468210222956
0, 14, 0.0016531372690371526
0, 15, 0.001668805236200832
0, 16, 0.001673845294529519
0, 17, 0.0016758054496386343
0, 18, 0.001674498622389553
0, 19, 0.0016824731389561975
0, 20, 0.001697860063489487
0, 21, 0.0017199329936773422
0, 22, 0.002042160585346564
0, 23, 0.002094148034231691
0, 24, 0.0021289164681721484
0, 25, 0.002139283252261648
0, 26, 0.0021591691161791937
0, 27, 0.0021718971265526354
0, 28, 0.002183155580312901
0, 29, 0.002216993394128064
0, 30, 0.0022286013567935914
0, 31, 0.002365766784940826
0, 32, 0.0022561505930182024
0, 33, 0.0013320871391923061
0, 34, 0.0013705872223959137
0, 35, 0.0015652499822833565
0, 36, 0.0014612554523997234
0, 37, 0.0014543663588089117
0, 38, 0.0014460922455423741
0, 39, 0.001467260575449103
0, 40, 0.001478846867921435
0, 41, 0.0014955126475776348
0, 42, 0.0015750246752906927
0, 43, 0.0017523658948176424
0, 44, 0.0025450082159423904
0, 45, 0.0025536040028411033
0, 46, 0.00257965799169646
0, 47, 0.0026046368862658875
0, 48, 0.0026358364498078046
0, 49, 0.002670185716293627
0, 50, 0.0026893195733410646
0, 51, 0.0026959863182988153
0, 52, 0.0027075322319726203
0, 53, 0.002747829297323423
0, 54, 0.002944729627006981
0, 55, 0.0027893818438420315
0, 56, 0.0026157595077660467
0, 57, 0.002473725350127687
0, 58, 0.0025356096972404263
0, 59, 0.00257950232637405
0, 60, 0.002581695993384092
0, 61, 0.002583101428388024
0, 62, 0.002614236544462023
0, 63, 0.0027286082026438674
0, 64, 0.003984654910334062
0, 65, 0.02104479784793656
0, 66, 0.003044696240471878
0, 67, 0.0030618211367601234
0, 68, 0.003098319267573979
0, 69, 0.0031515472983276727
0, 70, 0.003175872329769236
